This is a list of the ORF overlaps and near-overlaps (less than 27 bases between ORFs) in E. coli where an ORF knockout
(deleted gene) would also remove the Shine-Dalgarno sequence (ribosome binding site) of another gene (affected gene) or of
multiple genes. For example, there is only a single base between the 3' end of thrA (b0002) and the 5' end of thrB (b0003), so
the Shine-Dalgarno sequence for thrB lies within the open reading frame of thrA. If thrA is knocked out entirely from the 5' end
to the 3' end, the transcription of thrB could be affected. Also, b0147 affects two other genes, one at each end. 

To avoid this problem, in our list of knockout primers for all E. coli ORFs, we have preserved the 30 bases upstream of genes
that would otherwise be affected in cases of overlap or near-overlap (indicated below), by overriding the 5' or 3' end or both
of the knockout gene. This means that a certain fragment of the knockout gene will not be knocked out, perhaps leading to a
partial transcript. You can use PrimerFinder to generate a new set of primers to knock out the entire ORF. 

Deleted (knockout)gene						Affected gene					Deleted	gene
Bnum	Name	Str	Start	Stop	Bnum	Name	Str	Start	Stop	Overlap	New start	
b0002	thrA	1	337	2799	b0003	thrB	1	2801	3733	-1		
b0003	thrB	1	2801	3733	b0004	thrC	1	3734	5020	0		
b0013	yaaI	2	11382	11786	b0011		2	10643	11356	-25	11384	
b0022	insA_1	2	20233	20508	b0021	insB_1	2	19811	20314	82	20342	
b0024		1	21181	21399	b0025	yaaC	1	21407	22348	-7		
b0026	ileS	1	22391	25207	b0027	lspA	1	25207	25701	1		
b0028	yaaD	1	25826	26275	b0029	lytB	1	26277	27227	-1		
b0032	carA	1	29651	30799	b0033	carB	1	30817	34038	-17		
b0036	caiD	2	35377	36270	b0035	caiE	2	34781	35392	16	35420	
b0037	caiC	2	36271	37839	b0036	caiD	2	35377	36270	0	36298	
b0041	fixA	1	42367	43173	b0042	fixB	1	43188	44129	-14		
b0043	fixC	1	44180	45466	b0044	fixX	1	45463	45750	4		
b0046	yabF	1	47246	47776	b0047	kefC	1	47769	49631	8		
b0050	apaG	2	51229	51606	b0049	apaH	2	50380	51222	-6	51250	
b0051	ksgA	2	51609	52430	b0050	apaG	2	51229	51606	-2	51634
b0052	pdxA	2	52427	53416	b0051	ksgA	2	51609	52430	4	52458
b0053	surA	2	53416	54702	b0052	pdxA	2	52427	53416	1	53444
b0056	yabP	1	58474	59124	b0057	yabQ	1	59121	59279	4	
b0059	hepA	2	60358	63264	b0058	yabO	2	59687	60346	-11	60374
b0063	araB	2	68348	70048	b0062	araA	2	66835	68337	-10	68365
b0067	yabK	2	72911	74521	b0066	yabJ	2	72229	72927	17	72955
b0068	tbpA	2	74497	75480	b0067	yabK	2	72911	74521	25	74549
b0072	leuC	2	79464	80864	b0071	leuD	2	78848	79453	-10	79481
b0073	leuB	2	80867	81961	b0072	leuC	2	79464	80864	-2	80892
b0074	leuA	2	81958	83529	b0073	leuB	2	80867	81961	4	81989
b0077	ilvI	1	85540	87354	b0078	ilvH	1	87357	87848	-2	
b0078	ilvH	1	87357	87848	b0079	fruL	1	87860	87946	-11	
b0081	yabB	1	89634	90092	b0082	yabC	1	90094	91035	-1	
b0082	yabC	1	90094	91035	b0083	ftsL	1	91032	91397	4	
b0083	ftsL	1	91032	91397	b0084	ftsI	1	91413	93179	-15	
b0084	ftsI	1	91413	93179	b0085	murE	1	93166	94653	14	
b0085	murE	1	93166	94653	b0086	murF	1	94650	96008	4	
b0086	murF	1	94650	96008	b0087	mraY	1	96002	97084	7	
b0087	mraY	1	96002	97084	b0088	murD	1	97087	98403	-2	
b0088	murD	1	97087	98403	b0089	ftsW	1	98403	99647	1	
b0089	ftsW	1	98403	99647	b0090	murG	1	99644	100711	4	
b0091	murC	1	100765	102240	b0092	ddlB	1	102233	103153	8	
b0092	ddlB	1	102233	103153	b0093	ftsQ	1	103155	103985	-1	
b0093	ftsQ	1	103155	103985	b0094	ftsA	1	103982	105244	4	
b0101	yacG	2	111649	111846	b0100		2	111564	111698	50	111726
b0102	yacF	2	111856	112599	b0101	yacG	2	111649	111846	-9	111874
b0103	yacE	2	112599	113219	b0102	yacF	2	111856	112599	1	112627
b0106	hofC	2	114522	115724	b0105		2	114407	114514	-7	114542
b0107	hofB	2	115714	117099	b0106	hofC	2	114522	115724	11	115752
b0108	ppdD	2	117109	117549	b0107	hofB	2	115714	117099	-9	117127
b0110	ampD	1	118733	119284	b0111	ampE	1	119281	120135	4	
b0114	aceE	1	123017	125680	b0115	aceF	1	125695	127587	-14	
b0121	speE	2	135598	136464	b0120	speD	2	134788	135582	-15	135610
b0127	yadG	1	142779	143705	b0128	yadH	1	143702	144472	4	
b0134	panB	2	148807	149601	b0133	panC	2	147944	148795	-11	148823
b0137	yadL	2	151626	152231	b0136	yadK	2	151003	151599	-26	151627
b0138	yadM	2	152243	152854	b0137	yadL	2	151626	152231	-11	152259
b0139	htrE	2	152829	155426	b0138	yadM	2	152243	152854	26	152882
b0143	pcnB	2	157729	159093	b0142	folK	2	157253	157732	4	157760
b0147	yadP	2	161501	162040	b0148	hrpB	1	162060	164534	-19	
b0147	yadP	2	161501	162040	b0146	sfsA	2	160782	161486	-14	161514
b0148	hrpB	1	162060	164534	b0147	yadP	2	161501	162040	-19	162068
b0151	fhuC	1	169778	170575	b0152	fhuD	1	170575	171465	1	
b0152	fhuD	1	170575	171465	b0153	fhuB	1	171462	173444	4	
b0159	pfs	2	178455	179153	b0158	yadT	2	177662	178462	8	178490
b0165		2	184987	185118	b0164	yaeI	2	184257	185000	14	185028
b0166	dapD	2	185123	185947	b0165		2	184987	185118	-4	185146
b0175	cdsA	1	195785	196534	b0176	yaeL	1	196546	197898	-11	
b0178	hlpA	1	200482	200967	b0179	lpxD	1	200971	201996	-3	
b0180	fabZ	1	202101	202556	b0181	lpxA	1	202560	203348	-3	
b0181	lpxA	1	202560	203348	b0182	lpxB	1	203348	204496	1	
b0182	lpxB	1	203348	204496	b0183	rnhB	1	204493	205089	4	
b0184	dnaE	1	205126	208608	b0185	accA	1	208621	209580	-12	
b0190	yaeQ	1	214291	214836	b0191	yaeJ	1	214833	215255	4	
b0191	yaeJ	1	214833	215255	b0192	cutF	1	215269	215979	-13	
b0194	proS	2	217057	218775	b0193	yaeF	2	216179	217057	1	217085
b0196	rcsF	2	219591	219995	b0195	yaeB	2	218887	219594	4	219622
b0199	abc	2	221614	222645	b0198	yaeE	2	220968	221621	8	221649
b0209	yafD	1	231122	231922	b0210	yafE	1	231926	232549	-3	
b0212		2	234027	234782	b0213		1	234798	235538	-15	
b0213		1	234798	235538	b0212		2	234027	234782	-15	234810
b0226	dinJ	2	246242	246502	b0225	yafQ	2	245961	246239	-2	246267
b0229	fhiA	2	248358	250097	b0230	mbhA	1	250042	250827	56	
b0230	mbhA	1	250042	250827	b0229	fhiA	2	248358	250097	56	250125
b0232	yafN	1	252005	252298	b0233	yafO	1	252301	252699	-2	
b0233	yafO	1	252301	252699	b0234	yafP	1	252709	253161	-9	
b0235		1	253467	253733	b0236	prfH	1	253702	254202	32	
b0242	proB	1	259612	260715	b0243	proA	1	260727	261980	-11	
b0246	yafW	2	262914	263231	b0245		2	262552	262893	-20	262921
b0248	yafX	2	263972	264430	b0247		2	263480	263956	-15	263984
b0251	yafY	2	265334	266191	b0250	ykfB	2	264844	265311	-22	265339
b0255		1	269466	269870	b0256	tra8_1	1	269827	270978	44	
b0260	ykfD	1	274525	275952	b0261	yagD	1	275939	276871	14	
b0263		2	278038	278400	b0262	yagC	2	276980	278038	1	278066
b0264	insB_2	2	278402	278905	b0263		2	278038	278400	-1	278428
b0265	insA_2	2	278824	279099	b0264	insB_2	2	278402	278905	82	278933
b0268	yagE	1	281481	282410	b0269	yagF	1	282425	284392	-14	
b0270	yagG	1	284619	286001	b0271		1	286013	287623	-11	
b0275	insA_3	2	290295	290570	b0274	insB_3	2	289873	290376	82	290404
b0279		2	293169	294023	b0278	yagL	2	292444	293142	-26	293170
b0283	yagQ	2	296994	297950	b0282	yagP	2	296605	297015	22	297043
b0284	yagR	2	297960	300158	b0283	yagQ	2	296994	297950	-9	297978
b0285	yagS	2	300155	301111	b0284	yagR	2	297960	300158	4	300186
b0286	yagT	2	301108	301797	b0285	yagS	2	300155	301111	4	301139
b0290	yagW	2	304398	306041	b0289	yagV	2	303719	304474	77	304502
b0291	yagX	2	306031	308556	b0290	yagW	2	304398	306041	11	306069
b0292	yagY	2	308582	309250	b0291	yagX	2	306031	308556	-25	308584
b0298		1	314506	314814	b0299		1	314811	315677	4	
b0301	ykgB	2	316950	317552	b0302		1	317526	317795	27	
b0302		1	317526	317795	b0301	ykgB	2	316950	317552	27	317580
b0303		2	317555	317806	b0301	ykgB	2	316950	317552	-2	317580
b0306	ykgE	1	320832	321551	b0307	ykgF	1	321562	322989	-10	
b0307	ykgF	1	321562	322989	b0308	ykgG	1	322829	323677	161	
b0312	betB	2	326485	327957	b0311	betA	2	324801	326471	-13	326499
b0313	betI	2	327971	328558	b0312	betB	2	326485	327957	-13	327985
b0319		1	335149	336012	b0320		1	336002	337549	11	
b0320		1	336002	337549	b0321		1	337549	338967	1	
b0321		1	337549	338967	b0322		1	338993	339313	-25	
b0323		1	339389	340339	b0324		1	340349	341731	-9	
b0336	codB	1	354146	355405	b0337	codA	1	355395	356678	11	
b0347		1	367835	369499	b0348	mhpB	1	369501	370445	-1	
b0348	mhpB	1	369501	370445	b0349		1	370400	371329	46	
b0349		1	370400	371329	b0350		1	371333	372148	-3	
b0350		1	371333	372148	b0351	mhpE	1	372145	373095	4	
b0351	mhpE	1	372145	373095	b0352		1	373092	374105	4	
b0353		1	374638	375894	b0354		1	375879	376535	16	
b0359		2	380068	380511	b0360	yi21_1	1	380530	380940	-18	
b0359		2	380068	380511	b0358		2	379293	380066	-1	380094
b0360	yi21_1	1	380530	380940	b0361	yi22_1	1	380898	381803	43	
b0360	yi21_1	1	380530	380940	b0359		2	380068	380511	-18	380539
b0363		2	381963	383159	b0362		2	381728	382114	152	382142
b0365		1	384399	385418	b0366		1	385431	386198	-12	
b0366		1	385431	386198	b0367		1	386195	387022	4	
b0367		1	386195	387022	b0368		1	387019	387870	4	
b0373		2	391826	392134	b0372	tra5_1	2	390963	391829	4	391857
b0377	sbmA	1	395863	397083	b0378		1	397096	398190	-12	
b0386	proC	2	404059	404868	b0387	yaiI	1	404868	405446	1	
b0387	yaiI	1	404868	405446	b0386	proC	2	404059	404868	1	404896
b0393	yaiD	2	408332	409243	b0394	yajF	1	409230	410276	14	
b0394	yajF	1	409230	410276	b0395		1	410255	410497	22	
b0394	yajF	1	409230	410276	b0393	yaiD	2	408332	409243	14	409271
b0398	sbcD	2	414974	416176	b0397	sbcC	2	411831	414977	4	415005
b0406	tgt	1	425361	426488	b0407	yajC	1	426511	426843	-22	
b0408	secD	1	426871	428718	b0409	secF	1	428729	429700	-10	
b0413	ybaD	1	432226	432675	b0414	ribD	1	432679	433782	-3	
b0415	ribH	1	433871	434341	b0416	nusB	1	434361	434780	-19	
b0417		1	434858	435835	b0418		1	435813	436331	23	
b0421	ispA	2	439426	440325	b0420		2	437539	439401	-24	439429
b0422	xseB	2	440325	440567	b0421	ispA	2	439426	440325	1	440353
b0425	apbA	2	442828	443739	b0424	thiJ	2	442275	442871	44	442899
b0429	cyoD	2	446941	447270	b0428	cyoE	2	446039	446929	-11	446957
